user_id,category,title,url,thumbnail_url,created_at,description,tags,memo,,
,개발>인프라,,https://www.namecheap.com  ,,,Buy a domain and everything else you need,"infra,domain",,,
,개발>인프라,,https://www.cloudflare.com,,,"Connect, protect, and build everywhere","infra,dns,domain,protect",,,
,개발>인프라,,https://vercel.com/,,,Build and deploy on the AI Cloud,"infra,deploy",,,
,개발>인프라,,https://aws.amazon.com/free/,,,AWS Free Tier,"infra,deploy,clude,file,db",,,
,개발>인프라>결제,,https://stripe.com/en-my,,,Financia linfrastructure to grow your revenue,"infra,payment",,,
,개발>인프라>결제,,https://www.lemonsqueezy.com/,,,"Payments, tax & subscriptions for software companies","infra,payment",,,
,개발>인프라>결제,,https://www.paddle.com/,,,The Merchant of Record for digital products,"infra,payment",,,
,개발>인프라>메일,,https://www.resend.com,,,Email for developers,"infra,mail",,,
,개발>인프라>메일,,https://www.mailgun.com/,,,Transactional Email Delivery Service & API for Developers ,"infra,mail",,,
,개발>인프라>메일,,https://react.email/,,,The next generation of writing emails,"infra,mail",,,
,개발>인프라>etc,,https://sentry.io/,,,"Code breaks, fix it faster","infra,error",,,
,개발>인프라>etc,,https://upstash.com/,,,Serverless Data Platform. The single platform for all your data needs,"infra,cache",,,
,개발>인프라>etc,,https://www.algolia.com/,,,AI search that finds what users need,"infra,search",,,
,개발>인프라>etc,,https://onesignal.com/,,,The engagement platform thatcustomers |love,"infra,push",,,
,개발>디자인,,https://ui.shadcn.com/,,,Tailwind CSS로 만들어진 예쁜 React 컴포넌트 라이브러리,"components,ui",,,
,개발>디자인>애니메이션,,https://magicui.design/,,,UI library for Design Engineers,"components,animate",,,
,개발>디자인>애니메이션,,https://21st.dev/,,,"Discover, share & remix the best UI components","components,animate",,,
,개발>디자인>애니메이션,,https://ui.aceternity.com/,,,Make your websites look 10x beautiful,"components,ui",,,
,개발>디자인>아이콘,,https://lucide.dev/icons/,,,Beautiful & consistent icons,icon,,,
,개발>디자인>아이콘,,https://icones.js.org/,,,,icon,다양한 아이콘의 집약체,,
,개발>디자인,,https://ko.designus.design/,,,다양한 UI 소개,"design,reference",,,
,개발>디자인,,https://wwit.design/,,,한국의 모바일 디자인 패턴을 수집,"design,reference",,,
,개발>디자인,,https://www.landingfolio.com/,,,"The Best Landing Page Design Inspiration, Templates and More.","design,reference",,,
,개발>디자인,,https://www.designspells.com/,,,Design details that feel like magic.,"design,reference",,,
,개발>디자인,,https://mobbin.com/,,,Discover real-world design inspiration.,"design,reference",,,
,개발>디자인,,https://dribbble.com/,,,Discover the World’s Top Designers,"design,reference",,,
,개발>디자인,,https://www.behance.net/,,,Creative,"design,reference",,,
,개발>디자인,,https://www.awwwards.com/,,,Vote for the latest websites on awwwards,"design,reference",,,
,개발>디자인>참고,,"https://github.com/vasturiano
/react-force-graph?tab=readm
e-ov-file",,,"This module exports 4 stand-alone React component packages with identical interfaces: react-force-graph-2d, react-force-graph-3d, react-force-graph-vr and react-force-graph-ar. Each can be used to represent a graph data structure in a 2 or 3-dimensional space using a force-directed iterative layout.","design,reference,git,maker1","알아보기 쉽고, 프로젝트에 활용하기 적절",,
,개발>디자인>참고,,https://bento.me/en/home,,,Your personal page to show everything you are and create.,"design,reference,maker1","온라인 명함.
자신이 원하는 정보를 심미적으로 배치.",,
,개발>디자인>참고,,https://a-way-to-go.com/,,,Way to Go is an interactive experience,"design,reference,maker1","・ 마우스와 키보드로 조작하는 주인공이 숲 속을 탐험하는 구조가 과거 회상의 은유로 적절함
・ 배경 음악, 자연 소리, 리듬감 있는 애니메이션이 몰입감 극대화",,
